cluster,severity_score,LAT_WGS84,LONG_WGS84,collision_count
0,7145,43.655219112503154,-79.3958660566302,2377
48,317,43.67861153483871,-79.34612985010753,93
60,164,43.68934231583333,-79.299286169375,48
14,159,43.669329142653055,-79.46707721714286,49
10,156,43.675681465333334,-79.40504495911111,45
6,139,43.70909542571429,-79.39599863816326,49
33,133,43.65408761868421,-79.4514613486842,38
13,125,43.649679426842106,-79.48125321894737,38
30,124,43.76100876647059,-79.41049291676471,34
39,120,43.69651392108108,-79.44626171054054,37
12,111,43.726115605882356,-79.4819341817647,34
66,109,43.6919319459375,-79.286514535,32
2,107,43.667008615,-79.34093193125,32
8,105,43.76873951935484,-79.18813549580645,31
41,105,43.68964098848485,-79.34920312575758,33
49,93,43.672197770000004,-79.42937490999999,30
27,93,43.7711805868,-79.4132299744,25
28,92,43.68374213192308,-79.31259250576923,26
25,90,43.756435564074074,-79.48962999925926,27
56,90,43.800218640000004,-79.19900730214285,28
47,90,43.66097381625,-79.33609988583333,24
45,83,43.63491981869565,-79.40896883869564,23
7,82,43.68163768956522,-79.47414484826086,23
52,82,43.676067632800006,-79.44230009200001,25
51,81,43.780224116666666,-79.41660241666666,24
18,79,43.7749687652,-79.34691866520001,25
72,77,43.7841806185,-79.28841268400001,20
5,74,43.70020327227273,-79.39703140409091,22
37,70,43.68356412947369,-79.32349564473684,19
36,70,43.72566404736842,-79.40287662789474,19
58,67,43.75226136545455,-79.26443821727273,22
4,67,43.77137602421053,-79.28300311526316,19
34,67,43.77466222,-79.32160107,19
44,66,43.70083038,-79.50322091904762,21
1,66,43.72119635454545,-79.50868799,22
35,65,43.7069994925,-79.53137305999999,20
79,63,43.75738912952381,-79.51668646809523,21
21,60,43.76065673111111,-79.22555577888889,18
70,58,43.671246855625,-79.44949498875,16
22,58,43.72436372625,-79.30148040125,16
82,56,43.702304546470586,-79.42604715176469,17
54,54,43.66837355,-79.485667855,18
43,54,43.758499803333336,-79.31417498111111,18
26,53,43.758783040000004,-79.30010740066668,15
77,52,43.66484737125,-79.45196673875,16
15,51,43.720287453333334,-79.431153314,15
57,51,43.68390400444444,-79.41908658833333,18
81,50,43.73683357411765,-79.24715651176471,17
74,50,43.78049884285714,-79.23334506571429,14
85,49,43.74337731375,-79.219739350625,16
50,49,43.814196713076925,-79.29371047153846,13
55,47,43.70923504285714,-79.47817826857143,14
89,47,43.775317355714286,-79.33446172000001,14
76,47,43.75517863928571,-79.43987429071429,14
23,47,43.79091876785714,-79.44551688571428,14
31,46,43.700239349375,-79.516131138125,16
32,46,43.773219983749996,-79.25145095375001,16
78,46,43.76546040875,-79.28208450625,16
75,45,43.762539274999995,-79.29099199083333,12
63,43,43.654578240769226,-79.45972659461539,13
24,42,43.707711171666666,-79.34350777,12
68,42,43.690107358333336,-79.32574386166667,12
61,41,43.63206479454545,-79.5526272990909,11
17,41,43.735503834545455,-79.25851889818182,11
3,41,43.73689693857143,-79.34371514857142,14
64,40,43.731870841538466,-79.26782706384614,13
86,40,43.77597418923077,-79.34302902153847,13
97,40,43.690526698,-79.47367611,10
95,39,43.750177476666664,-79.27555911916666,12
91,39,43.740126766,-79.513389573,10
73,39,43.660149069166664,-79.32839158333333,12
84,39,43.791921505000005,-79.3308517075,12
16,39,43.825548487999995,-79.29739748,10
11,38,43.80170857636364,-79.29586171,11
83,38,43.59375156090909,-79.5358732,11
42,38,43.62286690818182,-79.48117041,11
46,38,43.69384998181818,-79.5584501709091,11
62,37,43.716334289230765,-79.55521138384617,13
29,37,43.74414509538462,-79.5825274546154,13
98,35,43.72134876454545,-79.33795042909091,11
20,35,43.63682617090909,-79.43655364727273,11
9,35,43.749288432727276,-79.51566304636364,11
59,35,43.65259076363637,-79.47002417454546,11
80,34,43.719154799,-79.25048486,10
87,34,43.733120398,-79.60845295700001,10
90,33,43.664409061111115,-79.45792459777778,9
40,33,43.80369514,-79.28649874416666,12
93,33,43.69997811,-79.38858065000001,10
19,31,43.684305957999996,-79.51167322,10
53,31,43.76624166,-79.388326009,10
65,31,43.685677303,-79.48990314,10
88,31,43.697581095,-79.31773071,10
69,31,43.630424386,-79.51757004999999,10
71,31,43.720435958,-79.45610896,10
67,31,43.67320381,-79.41408804,10
94,31,43.663903345,-79.46947418375,8
38,29,43.675442192727274,-79.42325229363637,11
92,29,43.69490677272727,-79.27559052454545,11
96,28,43.685130266,-79.356305523,10
